comm_area,hardship_index,pct_households_below_poverty,age_gte_25_wo_diploma,pct_age_gte_16_unemployed,pct_age_lt_18_gt_64,per_capita_income,white,black,native_american,asian,other,hispanic,multiracial,total,age_lt_5,age_5_9,age_10_14,age_15_17,age_18_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_gte_85
Rogers Park,39,23.6,18.2,8.7,27.5,23939,21618,14461,142,3523,241,13433,1573,54991,3737,2822,2339,1527,1889,5976,5847,5586,4839,4028,3777,3434,2820,2250,1374,994,684,512,556
West Ridge,46,17.2,20.8,8.8,38.5,23040,30706,8015,189,16184,228,14701,1919,71942,5716,5208,4612,2780,1689,4748,5683,5454,5197,4901,4975,4725,4516,3513,2372,1837,1423,1215,1378
Uptown,20,24,11.8,8.9,22.2,35787,29098,11275,191,6414,140,8009,1235,56362,2888,1852,1595,1030,741,4497,7871,7090,5313,4527,3968,3668,3093,2390,1659,1347,1037,844,952
Lincoln Square,17,10.9,13.4,8.2,25.5,37524,24916,1488,72,4399,139,7562,917,39493,2610,1760,1359,853,586,2459,5418,5450,4009,3100,2538,2253,2114,1603,1070,839,581,456,435
North Center,6,7.5,4.5,5.2,26.2,57123,24634,738,55,1449,67,4330,594,31867,2876,1718,1010,417,268,1773,5004,4627,3595,2695,1877,1467,1221,1056,742,547,414,273,287
Lake View,5,11.4,2.6,4.7,17,60058,75845,3651,110,5653,184,7198,1727,94368,4369,2197,1352,698,718,12792,23641,13779,7918,5884,4495,3566,3018,3092,2197,1530,1143,926,1053
Lincoln Park,2,12.3,3.6,5.1,21.5,71551,53138,2753,54,3296,133,3571,1171,64116,3183,2084,1511,798,2559,9584,12624,7188,4609,3861,3222,2818,2489,2515,1886,1118,768,600,699
Near North Side,1,12.9,2.5,7,22.6,88669,58033,8732,79,8140,188,3974,1338,80484,2647,1404,1186,720,885,7747,15448,9941,5941,4669,4574,4592,4650,5008,3791,2744,1870,1423,1244
Edison Park,8,3.3,7.4,6.5,35.3,40959,9885,29,3,269,9,872,120,11187,648,726,669,355,158,537,702,677,802,914,894,877,805,596,430,378,383,313,323
Norwood Park,21,5.4,11.5,9,39.5,32875,30157,164,54,1696,39,4442,471,37023,2080,2185,2136,1197,639,1669,1917,2145,2527,2720,2818,2899,2715,2152,1595,1322,1265,1261,1781
Jefferson Park,25,8.6,13.4,12.4,35.5,27751,17475,265,71,2256,43,4927,411,25448,1540,1408,1361,880,518,1391,1805,1872,1939,1898,1971,1986,1691,1500,1013,800,683,590,602
Forest Glen,11,7.5,4.9,6.8,40.5,44164,13815,137,22,1989,16,2126,403,18508,1139,1429,1289,675,318,769,679,826,1205,1467,1586,1470,1392,1175,901,726,573,446,443
North Park,33,13.2,14.4,9.9,39,26576,8847,573,42,4600,86,3224,559,17931,1051,1052,1073,705,548,1341,1234,1081,1150,1138,1117,1101,1104,973,845,774,609,509,526
Albany Park,53,19.2,32.9,10,32,21323,15054,2076,119,7430,181,25487,1195,51542,4224,3670,3173,1855,1604,4788,5141,4883,4425,3403,3317,2783,2472,1827,1282,894,700,527,574
Portage Park,35,11.6,19.3,12.6,34,24336,34329,856,107,2972,136,24861,863,64124,4436,3918,3813,2489,1571,4416,5099,4843,4807,4593,4583,4914,4274,3410,2062,1636,1241,993,1026
Irving Park,34,13.1,22.4,10,31.6,27249,22234,1736,124,3736,137,24332,1060,53359,3985,3297,3104,1860,1180,3553,5332,5333,4509,4181,3753,3398,2987,2293,1528,1093,855,572,546
Dunning,28,10.6,16.2,10,33.6,26282,29512,308,40,1587,54,9997,434,41932,2352,2312,2301,1429,1009,2597,2969,2988,2820,2844,3084,3379,3098,2460,1725,1339,1111,1070,1045
Montclaire,50,15.3,23.5,13.8,38.6,22014,5041,598,21,377,29,7248,112,13426,998,886,894,556,312,928,977,1013,942,867,865,930,855,715,470,374,280,267,297
Belmont Cragin,70,18.7,37.3,14.6,37.3,15461,11959,2493,74,1537,159,62101,420,78743,6840,6329,6460,3843,2526,6319,6580,6435,5931,5262,4970,4678,3815,2975,2030,1406,950,722,672
Hermosa,71,20.5,41.6,13.1,36.4,15089,1913,757,16,294,38,21860,132,25010,2227,2073,2007,1271,838,2074,2163,1991,1941,1672,1580,1457,1247,900,559,391,271,202,146
Avondale,42,15.3,24.7,9.2,31,20039,11166,991,69,1194,93,25295,454,39262,3197,2601,2432,1484,996,3334,4421,4032,3203,2760,2322,2191,1830,1509,1007,731,536,359,317
Logan Square,23,16.8,14.8,8.2,26.2,31908,29175,3913,111,1904,198,37340,954,73595,5339,4012,3643,2245,1472,6713,11239,9747,6639,4966,3946,3421,2848,2270,1472,1079,756,527,457
Humboldt Park,85,33.9,35.4,17.3,38,13781,2502,23030,56,222,88,30046,379,56323,4986,4562,4704,3087,1978,4689,4626,4261,3916,3393,3592,3405,2800,2217,1514,1081,723,487,302
West Town,10,14.7,12.9,6.6,21.7,43198,46390,6391,121,3030,187,23856,1457,81432,5347,2926,2754,1680,1202,7051,15874,13632,8360,5473,4020,3514,3004,2306,1563,1243,933,661,693
Austin,73,28.6,24.4,22.6,37.9,15957,4364,83837,161,573,74,8722,783,98514,7331,6822,7547,5274,3358,7302,6598,6298,6017,5972,6789,7208,6246,5119,3734,2891,1946,1193,869
West Garfield Park,92,41.7,24.5,25.8,43.6,10934,133,17315,22,8,11,348,164,18001,1433,1363,1597,1182,727,1409,1146,1031,1086,1042,1245,1269,981,689,497,466,380,286,172
East Garfield Park,83,42.4,21.3,19.6,43.2,12961,698,18696,24,83,20,850,196,20567,1537,1631,1697,1275,744,1497,1544,1566,1357,1240,1392,1365,1097,849,524,413,352,266,221
Near West Side,15,20.6,9.6,10.7,22.2,44689,23042,17303,84,8022,170,5048,1212,54881,3048,1710,1688,1337,2074,7049,9305,8086,4826,3234,2615,2496,2032,1756,1281,857,627,462,398
North Lawndale,87,43.1,27.6,21.2,42.7,12034,492,32835,78,74,24,2144,265,35912,3080,3045,3317,2243,1363,2865,2532,2318,2223,2104,2222,2253,1867,1281,911,755,602,511,420
South Lawndale,96,30.7,54.8,15.8,33.8,10402,3056,10374,63,113,99,65457,126,79288,7255,6667,5977,3717,3123,7921,7755,7308,6236,5460,4657,4034,2972,2209,1452,953,745,485,362
Lower West Side,76,25.8,40.7,15.8,32.6,16444,4447,1108,50,371,45,29486,262,35769,2719,2736,2625,1601,1037,3479,4129,3401,2824,2368,1946,1796,1505,1154,811,587,453,324,274
Loop,3,14.7,3.1,5.7,13.5,65526,18359,3361,46,4658,97,2010,752,29283,830,335,192,147,2640,4682,5413,3466,2047,1586,1407,1373,1434,1366,944,563,400,260,198
Near South Side,7,13.8,7.4,4.9,21.8,59077,10281,6015,18,3307,63,1202,504,21390,1405,635,478,250,172,1244,3256,3461,2342,1557,1311,1184,1163,963,716,470,320,238,225
Armour Square,82,40.1,34.5,16.7,38.3,16148,1642,1419,4,9721,3,464,138,13391,620,593,666,440,356,1205,970,754,842,881,969,1009,860,747,594,584,518,476,307
Douglas,47,29.6,14.3,18.2,30.7,23791,1810,13247,41,2313,24,465,338,18238,806,718,778,493,820,2458,1850,1239,1037,922,996,1160,1132,1006,789,622,503,438,471
Oakland,78,39.7,18.4,28.7,40.4,19252,122,5567,17,35,10,87,80,5918,488,476,549,321,173,344,405,466,475,429,381,369,282,246,185,112,102,56,59
Fuller Park,97,51.2,26.6,33.9,44.9,10432,47,2651,0,7,0,132,39,2876,172,177,209,153,104,184,157,172,161,148,184,202,171,173,182,133,80,64,50
Grand Boulevard,57,29.3,15.9,24.3,39.5,23472,391,20645,33,57,21,395,387,21929,1507,1446,1551,1081,632,1256,1495,1646,1819,1490,1418,1400,1210,1071,865,679,521,438,404
Kenwood,26,21.7,11.3,15.7,35.4,35911,2942,12821,17,973,64,542,482,17841,1023,976,946,595,317,1388,1676,1303,1183,1077,1175,1146,1156,1133,787,679,483,392,406
Washington Park,88,42.1,25.4,28.6,42.8,13785,87,11370,13,12,2,104,129,11717,994,1100,1124,756,455,854,879,874,758,731,774,714,557,362,249,185,145,112,94
Hyde Park,14,18.4,4.3,8.4,26.2,39056,11992,7815,37,3185,95,1626,931,25681,982,862,704,457,1323,4318,3315,2268,1533,1300,1380,1388,1373,1252,992,695,609,437,493
Woodlawn,58,30.7,16.5,23.4,36.1,18672,1707,22654,42,567,34,543,436,25983,1641,1717,1802,1216,1322,1955,1597,1712,1545,1443,1475,1497,1328,1045,760,606,397,331,351
South Shore,55,31.1,14,20,35.7,19398,640,47289,120,101,76,854,687,49767,3422,3216,3343,2276,1461,3471,3771,3413,3259,3414,3752,4120,3549,2820,2140,1581,1216,884,902
Chatham,60,27.8,14.5,24,40.3,18881,112,30160,69,27,26,311,323,31028,1739,1793,1923,1426,874,1834,1778,1688,1825,1864,2278,2682,2349,1781,1339,1152,963,876,864
Avalon Park,41,17.2,10.6,21.1,39.3,24454,81,9751,18,19,16,153,147,10185,506,579,655,502,254,533,511,515,576,641,790,825,735,594,546,534,388,279,222
South Chicago,75,29.8,26.6,19.7,41.1,16579,599,23296,52,67,73,6774,337,31198,2318,2339,2574,1679,1040,2207,2087,1815,1923,1887,1928,2031,1873,1486,1220,1072,804,487,428
Burnside,79,33,19.3,18.6,42.7,12515,19,2849,2,0,0,20,26,2916,161,195,265,175,85,165,156,161,195,150,172,203,163,157,158,145,91,52,67
Calumet Heights,38,11.5,11,20,44,28887,126,12897,17,26,22,569,155,13812,592,707,897,612,310,662,626,648,814,854,1015,1010,937,919,963,898,636,418,294
Roseland,52,19.8,16.9,20.3,41.2,17949,188,43447,64,27,40,458,395,44619,2725,2853,3358,2464,1539,3016,2294,2283,2596,2652,3024,3385,2659,2406,2122,1911,1479,974,879
Pullman,51,21.6,13.1,22.8,38.6,20588,522,6122,8,5,8,571,89,7325,476,496,539,357,210,458,453,456,482,503,488,467,473,411,322,287,224,141,82
South Deering,65,29.2,21,16.3,39.5,14685,725,9354,31,18,16,4809,156,15109,1060,1150,1261,797,478,963,855,886,946,912,954,1051,932,745,698,515,407,284,215
East Side,64,19.2,31.9,12.1,42.8,17104,3969,777,39,53,18,18076,110,23042,1903,1904,2134,1157,762,1605,1623,1605,1577,1447,1437,1452,1212,905,588,545,491,375,320
West Pullman,62,25.9,20.5,19.4,42.1,16563,166,27593,45,14,15,1509,309,29651,2063,2161,2413,1777,1086,2012,1628,1716,1779,1777,1923,1936,1744,1679,1503,1067,698,426,263
Riverdale,98,56.5,27.5,34.6,51.5,8201,32,6251,7,2,4,132,54,6482,646,677,884,509,245,481,400,485,363,355,337,301,230,181,116,91,91,49,41
Hegewisch,44,17.1,19.2,9.6,42.9,22677,4235,364,22,48,1,4671,85,9426,607,680,685,407,238,566,574,593,608,619,621,728,558,520,387,331,263,225,216
Garfield Ridge,32,8.8,19.3,11.3,38.1,26353,18372,2040,29,346,33,13515,178,34513,2219,2267,2286,1386,812,2120,2255,2288,2367,2314,2426,2511,2249,1751,1312,1121,968,947,914
Archer Heights,67,14.1,35.9,16.5,39.2,16134,2874,130,15,138,11,10182,43,13393,1153,1092,1062,690,412,1037,1101,1175,1068,851,717,727,609,511,319,264,203,200,202
Brighton Park,84,23.6,45.1,13.9,39.3,13089,3682,542,40,2252,44,38693,115,45368,4481,4431,4079,2457,1443,3695,3873,3670,3488,3041,2604,2288,1885,1323,835,595,489,368,323
McKinley Park,61,18.7,32.9,13.4,35.6,16954,2667,234,23,2445,11,10111,121,15612,1218,1188,1168,713,426,1183,1431,1286,1146,1034,1047,961,893,654,393,306,213,180,172
Bridgeport,43,18.9,22.2,13.7,31.3,22694,11225,672,41,11038,37,8627,337,31977,1956,1813,1854,1164,768,2887,3030,2476,2288,2302,2236,2285,2106,1586,960,767,592,507,400
New City,91,29,41.5,23,38.9,12765,4697,13148,58,727,55,25431,261,44377,4291,4190,4189,2651,1538,3411,3439,3444,3227,2805,2558,2484,1898,1402,907,756,552,375,260
West Elsdon,69,15.6,37,16.7,37.7,15754,3250,255,15,222,13,14314,40,18109,1549,1596,1504,870,569,1370,1494,1450,1472,1189,1032,986,843,681,426,310,230,265,273
Gage Park,93,23.4,51.5,18.2,38.8,12171,1892,2161,23,121,34,35589,74,39894,4001,3968,3934,2246,1461,3303,3236,3279,3115,2740,2182,1852,1481,1118,706,498,331,197,246
